标题,星级,内容,标签
Great Company,5,Great company to fly with. Everything was like clockwork . Check in really good. Boarding really good seating and leg room very good. In flight entertainment really good. Food on plane very good. Staff Excellent. Great flight. We were about an hour late but that was due to problems at Singapore airport before we took off. But we were kept...,Southeast Asia' 'Economy' 'Singapore - Bangkok
Good flight Manila to Mumbai,4,Flight was very comfortable. Staff very courteous and helpful. Meals were quite good with selection of drinks available. Not a full flight so could stretch out.,Asia' 'Economy' 'Manila - Mumbai
Cathay Pacific flight Manchester to Hobgkong,4,"Calm flights both to and from Hongkong. Plenty of choice of films, books, games and entertainment from personal tv systems for the long flight. We traveled economy class but was surprised at the good width of the seats and also the amount of legroom, blankets and pillows were handed out for comfort. The food was sort of ok as usual...",International' 'Economy' 'Manchester - Hong Kong
A35 Business Class Hong Kong to London Gatwick,4,"Trip
If you have to spend 13 hours on an aircraft this A35 is probably the best aircraft to do it in. Spacious, quiet, pressurised to a lower altitude and with a higher air moisture, it definitely is so much kinder to your body and physical well being – very noticeable on arrival.
This Cathay aircraft was new and clean....",International' 'Business Class' 'Hong Kong - London
Decent flight with good food,4,"We have flown many times with Cathay Pacific in the past with mixed experiences, some good and some very bad. This time I was impressed with their service and the food on offer, in particular the beef goulash. Normally I am not fond of airplane food but their beef goulash is the best I have tasted on an airplane.
All...",International' 'Economy' 'Sydney - Hong Kong
Pretty good service...not 'great' service,4,"The flight from Hong Kong to Bangkok is a relatively short (2h 15- 3m) flight. Even with 2 kiddos in tow, economy class should work out ok. And it did.
The seats in economy were decent sized (even for my enormous frame). There was a good amount of legroom and on our flight the seats didn't ""recline"" back, they sort...",Southeast Asia' 'Economy' 'Hong Kong - Bangkok
A Great Flight,5,Loved this flight with Cathay Pacific. Great new direct route from Chch to Hong Kong. Good service and everything was easy.,International' 'Economy' 'Christchurch - New Delhi
JFK to BKK,5,"Boarded the early morning flight from jfk and had the last seat in business class, after the usual welcome drink and hot towel the menu came. It had the usual light meal and it had a delicious choice so I liked to opt for that.
They served the drinks and I asked the attendant if I could choose the light...",Southeast Asia' 'Economy' 'Hong Kong - Bangkok
Nice to be upgraded,4,"I regularly fly with CathayDragon but since my company “went cheap” on short flights most have been in economy. This was the first time I had been given an upgrade which was rather nice and something of a surprise.
Given that any travel through Xiamen airport is more often than not (as in this case) subject to air traffic delays,...",Asia' 'Economy' 'Xiamen - Hong Kong
RACIST AIRLINE,1,"Please avoid this airline if you are NOT WHITE OR NOT CHINESE. This crew treats well only for white and Chinese. If you are Indian or Black, Please go different airline and I am very disappointed the way treat you. PLEASE TEACH LESSON TO CATHAY PACIFIC ADMIN and they insult you so badly if you ask for Water or Fruits....",International' 'Premium Economy' 'Los Angeles - Hong Kong
Great flight,5,Great flight brilliant crew good was good with snacks and drinks offered all during the fli not bumpy at times but no problem,International' 'Economy' 'Hong Kong - London
Cool flight from London to Hong Kong in Nov 217,4,"I flew to Asia with Cathay Pacific after i got the chance to switch from Qatar Airways to a direct flight which seemed to make more sense. The outbound flight was cool. Really enjoyed it. I did fly economy, but the thing that made this flight good for me was the stewardess serving/operating in my part of the cabin. Very...",International' 'Economy' 'London - Hong Kong
Superb New A35 with flat beds and full service for a 2 hour flight.....,4,"A two-hour flight in Europe or North America will be a single aisle flight with small seats and simple catering – even in Business Class
Cathay offer, for this two-hour flight from Bangkok to Hong Kong, a brand new twin aisle A35. Fabulous aircraft. Quiet, spacious, good air humidity and low-level pressurisation, topped out with a fully lie flat bed,...",Asia' 'Business Class' 'Bangkok - Hong Kong
"CX is usually ranked high, wondering a bit about what the reasons are",3,"5 hour trip in a half full 777, as a first-time traveler at CX, expectations were high after seeing their ranking among airlines.Seating near the galley is always an experience of disturbing sounds.On top of that I've always thought the Boeing 777 was a quiet machine but it did not turn out to like that. However, a large inflight entertainment...",North Asia' 'Economy' 'Hong Kong - Sapporo
Excellent service,3,Quality of service was very good as it always is but a glass was broken when it slid off my tray. The tray would not stay horizontal. Now this is a small issue dealt with very efficiently by the crew but it should never have happened. The problem had been there for a long time. The tray needed to be...,International' 'Business Class' 'London - Melbourne
First Class Treatment in Business Class,5,"A long 12.5 hour flight was turned into a very pleasurable experience due to the excellent cabin staff, enjoyable food, and very comfortable lie flat beds. The whole experience from check in to arrival was seamless. The check in and security at Heathrow was swift. The business class lounge at Heathrow was good but not as good the Cathay Pacific...",International' 'Business Class' 'London - Hong Kong
